Condition,Movie,Cell ID,Generation,R.P,G.P,B.P,Parent MkP,Parent MkP.2,Parent ErP,Parent ErP.2,Parent MEP,Parent MEP.2,Generations Since Blue,Parent Type,First Frame,Last Frame,# of Time Frames,1,2,3,4,5,2Hr Conversion,2Hr Conversion.1,30Min Conversion,30Min Conversion.1,30Min Conversion.2,10Min Conversion,10Min Conversion.1,Sum of Conversions,Sum of Conversions.1,Sum of Conversions.2,Sum of Conversions.3,Sum of Conversions.4,Sum of Conversions.5,Sum of Conversions.6,Hours,First Time,Last Time,Total Time,1st X,1st Y,Last X,Last Y,Diffusion Pixel Distance,Diffusion Micron Distance,Total Pixel Distance,Total Micron Distance,Directionality,Avg Velocity,1 Peak Velocity,1 Peak Frame,1 Peak Time,3 Peak Velocity,3 Peak Frame 1,3 Peak Time 1,3 Peak Frame 2,3 Peak Time 2,3 Peak Frame 3,3 Peak Time 3,R.D1,G.D1,B.D1,Daughter 1 MkP,Daughter 1 MkP.2,Daughter 1 ErP,Daughter 1 ErP.2,Daughter 1 MEP,Daughter 1 MEP.2,Daughter 1 Type,R.D2,G.D2,B.D2,Daughter 2 MkP,Daughter 2 MkP.2,Daughter 2 ErP,Daughter 2 ErP.2,Daughter 2 MEP,Daughter 2 MEP.2,Daughter 2 Type,MEP Expansion,MEP Expansion.2,MEP Maintenance+E,MEP Maintenance+E.1,MEP Maintenance+E.2,MEP Maintenance+E.3,MEP Maintenance+Mk,MEP Maintenance+Mk.1,MEP Maintenance+Mk.2,MEP Maintenance+Mk.3,MEP Maintenance,MEP Exhaustion,MEP Exhaustion.1,MEP Exhaustion.2,MEP Exhaustion.3,ErP Expansion,ErP Expansion.2,MkP Expansion,Division Outcome,Division Outcome.6
Cntrl MkP,11082018_sp6_MkP,Sheet1,1,0,1,0,MkP,MkP,0,,0,,,MkP,1,7,7,7,-10,17,-10,17,14,34,,,,1.1669,-1.667,14,0,0,0,0,0,0,14,24,36,12,692.0522388,455.2574627,758.0776699,389.192233,93.4022062,1046.104709,115.7818721,1296.756967,1.239605324,92.62549767,69.20177615,3,2,42.87764395,3,2,6,2,2,2,0,1,0,MkP,MkP,0,,0,,MkP,0,1,0,MkP,MkP,0,,0,,MkP,0,,0,0,0,,0,0,0,,0,0,0,,0,,1,MkP Expansion,MkP Expansion,
Cntrl MkP,11082018_sp6_MkP,Sheet2,2,0,1,0,MkP,MkP,0,,0,,,MkP,8,16,9,9,-1,10,-1,10,18,20,,,,1.5003,-0.1667,18,0,0,0,0,0,0,18,38,54,16,758.058642,389.4351852,704.2785714,412.9142857,58.68188945,657.2371619,192.9710414,2161.275664,3.288425836,120.0708702,91.41226522,11,2,62.95041642,11,2,16,2,10,2,0,1,0,MkP,MkP,0,,0,,MkP,0,1,0,MkP,MkP,0,,0,,MkP,0,,0,0,0,,0,0,0,,0,0,0,,0,,1,MkP Expansion,MkP Expansion,
Cntrl MkP,11082018_sp6_MkP,Sheet3,3,0,1,0,MkP,MkP,0,,0,,,MkP,17,379,363,363,362,1,362,1,726,2,,,,60.5121,60.3454,0,2,0,0,0,0,60.3454,62.3454,56,150.2019,94.2019,700.7741935,409.1572581,544.6235521,471.2374517,168.0386065,1882.032392,1051.703871,11779.08335,6.258703834,188.9326775,116.5308588,18,2,71.023357,18,2,236,0.1667,60,0.1667,0,0,0,0,,0,,0,,,0,0,0,0,,0,,0,,,0,,0,0,0,,0,0,0,,0,0,0,,0,,0,,,
Cntrl MkP,11082018_sp6_MkP,Sheet4,3,0,1,0,MkP,MkP,0,,0,,,MkP,17,379,363,363,362,1,362,1,726,2,,,,60.5121,60.3454,0,2,0,0,0,0,60.3454,62.3454,56,150.2019,94.2019,727.6162791,431.5930233,656.1842576,521.3953488,114.7475114,1285.172128,1485.363338,16636.06939,12.94462355,266.8371587,153.1023372,18,2,80.47024136,18,2,377,0.1667,20,0.1667,0,1,0,MkP,MkP,0,,0,,MkP,0,1,0,MkP,MkP,0,,0,,MkP,0,,0,0,0,,0,0,0,,0,0,0,,0,,1,MkP Expansion,MkP Expansion,
Cntrl MkP,11082018_sp6_MkP,Sheet5,4,0,1,0,MkP,MkP,0,,0,,,MkP,109,379,271,271,362,-91,362,-91,542,-182,,,,45.1757,60.3454,0,0,0,0,0,45.1757,0,45.1757,77.6696,150.2019,72.5323,607.9190476,533.0047619,563.6086957,542.915601,45.4051982,508.5382198,416.1356924,4660.719755,9.164935049,103.1687335,53.60556302,236,0.1667,23.13845337,236,0.1667,269,0.1667,350,0.1667,0,1,0,MkP,MkP,0,,0,,MkP,0,1,0,MkP,MkP,0,,0,,MkP,0,,0,0,0,,0,0,0,,0,0,0,,0,,1,MkP Expansion,MkP Expansion,
Cntrl MkP,11082018_sp6_MkP,Sheet6,4,0,1,0,MkP,MkP,0,,0,,,MkP,109,379,271,271,362,-91,362,-91,542,-182,,,,45.1757,60.3454,0,0,0,0,0,45.1757,0,45.1757,77.6696,150.2019,72.5323,595.1478261,530.0608696,548.5280528,526.2376238,46.77628105,523.8943478,1903.423842,21318.34703,40.69207296,471.8985434,59.74790921,331,0.1667,53.00187409,331,0.1667,236,0.1667,334,0.1667,0,0,0,0,,0,,0,,,0,0,0,0,,0,,0,,,0,,0,0,0,,0,0,0,,0,0,0,,0,,0,,,
Cntrl MkP,11082018_sp6_MkP,Sheet7,2,0,1,0,MkP,MkP,0,,0,,,MkP,8,379,372,372,362,10,362,10,744,20,,,,62.0124,60.3454,0,20,0,0,0,0,60.3454,80.3454,38,150.2019,112.2019,766.5103734,403.4564315,613.2124224,519.5559006,192.3001522,2153.761704,978.572328,10960.01007,5.08877563,136.4111707,91.32587751,10,2,68.34340328,10,2,11,2,350,0.1667,0,1,0,MkP,MkP,0,,0,,MkP,0,1,0,MkP,MkP,0,,0,,MkP,0,,0,0,0,,0,0,0,,0,0,0,,0,,1,MkP Expansion,MkP Expansion,
Cntrl MkP,11082018_sp6_MkP,Sheet8,3,0,1,0,MkP,MkP,0,,0,,,MkP,16,379,364,364,362,2,362,2,728,4,,,,60.6788,60.3454,0,4,0,0,0,0,60.3454,64.3454,54,150.2019,96.2019,885.045283,426.4792453,706.4611504,519.9828456,201.5817842,2257.715983,769.3869803,8617.134179,3.816748539,133.9199722,154.611396,18,2,79.14185403,18,2,236,0.1667,34,0.1667,0,0,0,0,,0,,0,,,0,0,0,0,,0,,0,,,0,,0,0,0,,0,0,0,,0,0,0,,0,,0,,,
Cntrl MkP,11082018_sp6_MkP,Sheet9,3,0,1,0,MkP,MkP,0,,0,,,MkP,16,105,90,90,88,2,88,2,180,4,,,,15.003,14.6696,0,4,0,0,0,0,14.6696,18.6696,54,77.0028,23.0028,874.3311037,415.7056856,767.5290023,531.1693735,157.2849392,1761.591319,406.3580843,4551.210544,2.583579117,243.7765428,119.8310836,18,2,57.91398085,18,2,17,2,42,0.1667,0,1,0,MkP,MkP,0,,0,,MkP,0,1,0,MkP,MkP,0,,0,,MkP,0,,0,0,0,,0,0,0,,0,0,0,,0,,1,MkP Expansion,MkP Expansion,
Cntrl MkP,11082018_sp6_MkP,Sheet10,4,0,1,0,MkP,MkP,0,,0,,,MkP,106,379,274,274,362,-88,362,-88,548,-176,,,,45.6758,60.3454,0,0,0,0,0,45.6758,0,45.6758,77.1695,150.2019,73.0324,765.8825758,534.3371212,692.361465,541.160828,73.83709573,826.9754722,636.1026375,7124.34954,8.614946609,155.9764589,61.97797177,236,0.1667,39.62841317,236,0.1667,148,0.1667,145,0.1667,0,0,0,0,,0,,0,,,0,0,0,0,,0,,0,,,0,,0,0,0,,0,0,0,,0,0,0,,0,,0,,,
