"time","mep","daughter","time_shift"
24,13,0,0
24,12,2,0
26,13,2,2
26,13,3,2
30,14,3,6
30,15,3,6
40,16,3,16
40,16,4,16
40,16,5,16
40,17,5,16
42,18,5,18
42,19,5,18
44,20,5,20
44,21,5,20
48,22,5,24
48,22,6,24
48,22,7,24
50,22,8,26
50,23,8,26
50,24,8,26
52,24,9,28
52,25,9,28
52,25,10,28
52,26,10,28
58,25,12,34
58,24,14,34
58,23,16,34
60,24,16,36
60,24,17,36
60,24,18,36
61.71666667,24,19,37.71666667
62,25,19,38
62,26,19,38
62.21666667,25,21,38.21666667
62.21666667,25,22,38.21666667
62.21666667,26,22,38.21666667
63.21666667,25,24,39.21666667
63.21666667,24,26,39.21666667
63.55,24,27,39.55
64,25,27,40
64,26,27,40
67.38333333,27,27,43.38333333
67.38333333,28,27,43.38333333
67.71666667,28,28,43.71666667
68,29,28,44
68,30,28,44
68.21666667,30,29,44.21666667
68.21666667,30,30,44.21666667
69.21666667,30,31,45.21666667
70,30,32,46
70,31,32,46
74.11666667,31,33,50.11666667
74.11666667,31,34,50.11666667
74.21666667,31,35,50.21666667
74.61666667,32,35,50.61666667
74.61666667,32,36,50.61666667
75.21666667,31,38,51.21666667
76.21666667,31,39,52.21666667
76.21666667,31,40,52.21666667
76.38333333,30,42,52.38333333
76.71666667,30,43,52.71666667
76.71666667,30,44,52.71666667
76.95,30,45,52.95
76.95,30,46,52.95
77.21666667,30,47,53.21666667
77.78333333,30,48,53.78333333
77.78333333,30,49,53.78333333
81.38333333,31,49,57.38333333
82.21666667,32,49,58.21666667
82.21666667,32,50,58.21666667
83.05,33,50,59.05
83.05,33,51,59.05
86.05,33,52,62.05
87.05,33,53,63.05
87.28333333,34,53,63.28333333
87.88333333,34,54,63.88333333
87.95,33,56,63.95
88.11666667,32,58,64.11666667
88.45,32,59,64.45
88.45,32,60,64.45
90.05,32,61,66.05
91.11666667,31,63,67.11666667
91.71666667,31,64,67.71666667
91.95,30,66,67.95
92.38333333,30,67,68.38333333
92.38333333,30,68,68.38333333
92.71666667,30,69,68.71666667
93.05,30,70,69.05
93.5,31,70,69.5
93.5,31,71,69.5
93.95,30,73,69.95
93.95,29,75,69.95
94.55,29,76,70.55
95.05,29,77,71.05
95.05,29,78,71.05
97.55,29,79,73.55
97.55,29,80,73.55
98,30,80,74
98,30,81,74
98.55,30,82,74.55
99.21666667,30,83,75.21666667
99.21666667,30,84,75.21666667
101.7833333,29,86,77.7833333
101.7833333,28,88,77.7833333
102.2833333,27,90,78.2833333
102.3833333,27,91,78.3833333
103.2166667,26,93,79.2166667
104.1166667,25,95,80.1166667
104.8833333,25,96,80.8833333
105.05,25,97,81.05
107.2166667,25,98,83.2166667
107.55,25,99,83.55
107.7166667,25,100,83.7166667
107.7166667,25,101,83.7166667
109.2166667,25,102,85.2166667
109.55,25,103,85.55
109.8833333,25,104,85.8833333
110.2166667,25,105,86.2166667
111.2166667,24,107,87.2166667
112.5,24,108,88.5
112.5,24,108,88.5
112.5,24,108,88.5
113.05,23,110,89.05
113.8833333,24,110,89.8833333
114.3833333,24,111,90.3833333
114.3833333,24,112,90.3833333
114.5,24,113,90.5
114.55,24,114,90.55
118.3833333,24,115,94.3833333
119.3833333,24,116,95.3833333
120.7166667,24,117,96.7166667
120.8833333,24,118,96.8833333
121.5,25,118,97.5
121.5,25,119,97.5
122.05,25,120,98.05
122.05,24,122,98.05
123.05,24,123,99.05
123.2166667,24,124,99.2166667
127.3833333,23,126,103.3833333
127.55,23,127,103.55
127.55,23,128,103.55
129.3833333,23,129,105.3833333
130.55,22,131,106.55
130.55,22,132,106.55
131.7166667,21,134,107.7166667
132.55,20,136,108.55
133,20,137,109
133,20,138,109
133.55,20,139,109.55
135,21,139,111
135.3833333,20,141,111.3833333
136,20,142,112
137,19,144,113
137.05,18,146,113.05
137.55,18,147,113.55
138.55,18,148,114.55
139.05,17,150,115.05
139.55,16,152,115.55
140.5,16,153,116.5
141.3833333,15,155,117.3833333
143.7166667,15,156,119.7166667
145.3833333,15,157,121.3833333
145.3833333,14,159,121.3833333
147,14,160,123
150.5,14,161,126.5
151.8833333,13,163,127.8833333
152.5,13,164,128.5
153,14,164,129
155,14,165,131
155,14,166,131
155,14,167,131
155,14,168,131
156.55,14,169,132.55
157.55,13,171,133.55
158.2166667,12,173,134.2166667
159.05,11,175,135.05
164,11,176,140
164.5,12,176,140.5
166.5,12,177,142.5
166.5,12,178,142.5
166.5,12,179,142.5
171,12,180,147
173,12,181,149
173.5,12,182,149.5
175.5,11,184,151.5
178.5,11,185,154.5
180,11,186,156
181.5,11,187,157.5
181.5,11,188,157.5
182.5,11,189,158.5
182.5,11,190,158.5
182.5,11,191,158.5
188.5,11,192,164.5
188.5,12,192,164.5
188.5,12,193,164.5
191.5,12,194,167.5
192.5,12,195,168.5
192.5,12,196,168.5
193.5,11,198,169.5
195.5,11,199,171.5
195.5,11,200,171.5
197.5,10,202,173.5
198.5,10,203,174.5
201.5,10,204,177.5
202.5,9,206,178.5
204,9,207,180
205,8,209,181
208,8,209,184
208,7,211,184
208,7,212,184
209.5,7,213,185.5
209.5,6,215,185.5
212.25,5,217,188.25
212.75,5,218,188.75
217.5,5,219,193.5
236,4,221,212
243,3,223,219
