"","time","mep","daughter"
"1",30,4,0
"2",30,5,0
"3",38,5,1
"4",38,6,1
"5",40,7,1
"6",48,8,1
"7",50,9,1
"8",52,9,2
"9",54,9,3
"10",56,9,4
"11",60,10,4
"12",60,10,5
"13",64,10,6
"14",64,11,6
"15",71.76666667,11,7
"16",72.6,11,8
"17",74.1,12,8
"18",74.1,13,8
"19",75.76666667,14,8
"20",76.6,15,8
"21",83.43333333,15,9
"22",85.26666667,14,11
"23",86.26666667,13,13
"24",86.6,13,14
"25",86.93333333,13,15
"26",87.76666667,12,17
"27",88.43333333,11,19
"28",89.43333333,11,20
"29",89.93333333,12,20
"30",90.1,12,21
"31",92.26666667,12,22
"32",93.76666667,11,24
"33",99.33333333,12,24
"34",99.33333333,12,25
"35",102.0166667,12,26
"36",109,12,27
"37",109.55,12,28
"38",111.4333333,11,30
"39",114.9333333,10,32
"40",119.2166667,9,34
"41",120.55,9,35
"42",123.5166667,9,36
"43",123.7833333,8,38
"44",125.4,7,40
"45",127.2833333,7,41
"46",128.35,6,43
"47",129.4333333,7,43
"48",133.4666667,6,45
"49",135.0666667,5,47
"50",143.6666667,4,49
"51",150.9,3,51
"52",153.05,2,53
"53",153.3166667,2,54
"54",154.6666667,1,56
"55",190.0333333,0,58
