"","time.collected","n","samp.mean.sc","samp.mean.ec","samp.var.sc","samp.var.ec","samp.cov","theo.mean.sc","theo.mean.ec","theo.var.sc","theo.var.ec","theo.cov"
"1",5,100,208.5,188.1,160.59595959596,303.848484848485,-140.49494949495,207.883292492454,188.908251865514,128.566598741161,309.591558114221,-120.683306248707
"2",10,100,317.76,327.84,275.820606060606,433.650909090909,-145.937777777778,323.240706203827,328.228261992993,259.899076729938,464.886632519104,-136.658370526111
"3",15,100,518.27,556.98,500.704141414141,585.292525252525,-239.954141414141,534.398839412109,544.598740261821,474.532106645251,684.732007494963,-140.133267233141
"4",20,100,601.4,1069.87,809.818181818182,1249.62939393939,-574.40202020202,615.994841049195,1058.7765419076,844.515974954796,1487.2976758132,-428.5211339056
"5",25,100,464.77,1766.26,1207.55262626263,2358.17414141414,-1136.42444444444,479.293966782841,1755.45020603659,1263.39812628541,2739.55436553895,-984.104159502359
"6",30,100,272.03,2342.77,1690.61525252525,3717.43141414141,-1893.21525252525,287.319604668088,2328.87374122068,1581.68902903488,3823.24316559228,-1494.3694243716
"7",35,100,130.28,2698.27,1802.16323232323,4342.72434343434,-2159.00565656566,147.289361399608,2680.56628124461,1769.47397463779,4502.75089447461,-1822.18461323
"8",40,100,54.34,2873.89,1404.02464646465,3631.67464646465,-1547.61878787879,68.6302804621002,2862.86847659828,1864.78907788622,4859.0272740224,-1996.15879742412
"9",45,92,26.8478260869565,2941.88043478261,775.22933588151,2723.73279980889,-787.666746297181,30.0896937632228,2948.34016797395,1908.92334323703,5027.17381744778,-2078.83364947383
"10",50,63,22.7460317460317,2966.46031746032,553.031233998976,2436.96210957501,-566.60701484895,12.6667355847069,2985.95630509547,1928.19311525862,5101.48268476918,-2115.5263796737
"11",55,49,23.1020408163265,2974.87755102041,493.968537414966,2789.48469387755,-537.258078231293,5.18360194163619,3001.83114409549,1936.28196337747,5132.92950553153,-2131.09836143604
"12",60,38,25.6052631578947,2976,470.461593172119,2918.16216216216,-576.945945945946,2.07851337884303,3008.3389296322,1939.58545754615,5145.84587380432,-2137.50694417211
"13",65,24,23.75,2985.91666666667,238.369565217391,3393.03623188406,-341.45652173913,0.82093720322784,3010.95171083484,1940.9081196185,5151.03889325592,-2140.08718242108
"14",70,12,23.6666666666667,2989.33333333333,433.333333333333,1962.9696969697,-235.151515151515,0.320532134956649,3011.98464100293,1941.42993805513,5153.09404691492,-2141.10940591198
"15",75,6,19.5,2990.83333333333,21.9,2378.56666666667,-132.9,0.124036214836295,3012.38823848864,1941.63350439737,5153.89770667118,-2141.50946818254
"16",80,4,38.25,2945.5,424.916666666667,1379.66666666667,193.166666666667,0.0476593113917524,3012.54450776773,1941.71222494895,5154.20907340529,-2141.66456563756
